time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-07 00:00:00+00:00,3,3,155,57
2026-03-08 00:00:00+00:00,9,5,93,19
2026-03-09 00:00:00+00:00,37,22,101,35
2026-03-10 00:00:00+00:00,6,6,93,19
2026-03-11 00:00:00+00:00,1,1,23,10
2026-03-12 00:00:00+00:00,2,2,13,7
2026-03-13 00:00:00+00:00,0,0,2,2
2026-03-14 00:00:00+00:00,17,4,21,11
2026-03-15 00:00:00+00:00,3,3,13,3
2026-03-16 00:00:00+00:00,25,9,34,23
2026-03-17 00:00:00+00:00,1,1,25,13
2026-03-18 00:00:00+00:00,3,3,17,9
2026-03-19 00:00:00+00:00,1,1,18,9
2026-03-20 00:00:00+00:00,20,5,46,13
2026-03-21 00:00:00+00:00,11,5,33,11
2026-03-22 00:00:00+00:00,3,3,25,9
2026-03-23 00:00:00+00:00,5,5,26,7
2026-03-24 00:00:00+00:00,50,26,73,12
2026-03-25 00:00:00+00:00,17,5,10,7
2026-03-26 00:00:00+00:00,12,10,23,6
2026-03-27 00:00:00+00:00,22,6,13,7
2026-03-28 00:00:00+00:00,17,8,8,6
2026-03-29 00:00:00+00:00,20,8,11,8
